Student_ID,Age,Gender,Year_of_Study,Department,Residence_Type,Attendance_Percent,Study_Hours_Per_Day,Previous_GPA,Backlogs,Sleep_Hours,Screen_Time_Hours,Exercise_Freq_Per_Week,Social_Activity_Score,Part_Time_Job,Family_Income_Bracket,Financial_Stress_Score,Family_Support_Score,Stress_Level,Anxiety_Score,Motivation_Score,Peer_Pressure_Score,Counseling_Access,Burnout_Level,Dropout_Risk
STU00001,23,Female,2,Science,Hostel,93.0,4.1,7.13,2.0,6.2,4.9,2,6.5,Yes,Upper-Middle,5.5,10.0,4.0,,7.0,,No,Low,No
STU00002,20,Female,4,Engineering,Day Scholar,94.3,0.0,10.0,0.0,,,1,4.1,Yes,Low,3.7,4.0,5.5,5.1,9.3,2.8,Yes,Medium,Yes
STU00003,24,Male,2,Business,PG/Rented,61.2,2.6,8.02,0.0,4.2,3.8,2,5.8,No,Middle,4.8,8.1,9.0,5.2,5.7,5.4,No,High,Yes
STU00004,21,Female,4,Medicine,Hostel,66.9,3.1,5.34,1.0,5.7,5.9,2,4.1,Yes,Lower-Middle,7.0,6.6,2.8,4.2,5.1,3.9,No,High,Yes
STU00005,23,Female,1,Engineering,,84.8,2.9,4.45,1.0,8.0,5.0,2,3.3,No,Lower-Middle,1.3,7.3,0.9,6.4,8.1,5.1,No,Low,No
STU00006,19,Male,4,Business,Hostel,72.5,,,0.0,4.9,5.7,1,5.4,No,Middle,2.0,6.9,6.6,6.7,,4.2,No,Medium,No
STU00007,23,Female,3,Science,Hostel,,1.6,8.0,0.0,5.4,5.2,3,2.7,No,Middle,6.3,5.0,7.6,5.5,5.6,5.2,Yes,High,Yes
STU00008,24,Other,2,Medicine,Hostel,97.3,7.0,7.61,0.0,6.5,4.7,6,8.8,No,Lower-Middle,5.1,,1.3,5.2,10.0,5.4,No,Low,No
STU00009,21,Male,1,Science,Hostel,73.3,2.6,5.66,0.0,3.7,6.1,1,2.1,No,Middle,4.8,6.5,4.9,7.7,6.5,0.6,No,Medium,Yes
STU00010,20,Male,2,Engineering,PG/Rented,63.5,7.0,7.31,1.0,6.6,7.2,4,5.6,Yes,Lower-Middle,7.2,4.8,3.5,2.6,7.1,3.6,No,Medium,Yes
STU00011,24,Female,1,Science,Hostel,65.5,1.4,5.79,1.0,,4.3,1,5.3,Yes,Upper-Middle,6.6,5.7,6.1,4.3,4.8,5.2,No,High,Yes
STU00012,24,Female,1,Business,Day Scholar,100.0,4.3,7.73,0.0,7.1,6.4,2,5.1,No,Lower-Middle,8.9,8.3,5.4,7.2,6.7,6.1,No,Medium,Yes
STU00013,19,Male,3,Science,Hostel,75.3,3.6,8.18,1.0,5.0,,0,8.0,Yes,Lower-Middle,7.1,,8.1,6.2,8.1,3.8,Yes,Medium,Yes
STU00014,22,Female,2,Law,Day Scholar,57.5,1.7,6.04,0.0,4.8,2.7,3,0.0,Yes,Upper-Middle,6.2,6.1,2.8,4.5,2.3,0.8,No,High,Yes
STU00015,21,Female,3,Science,Day Scholar,51.5,,8.38,1.0,6.6,7.6,1,,No,Low,4.9,8.8,6.3,5.9,5.3,7.0,Yes,High,Yes
STU00016,18,Female,4,Medicine,Hostel,68.6,3.2,6.96,2.0,7.4,10.0,1,4.5,No,Lower-Middle,4.7,5.4,6.7,3.8,6.2,6.2,No,High,Yes
STU00017,24,Female,2,Engineering,Hostel,75.1,1.8,7.49,,6.8,5.3,1,6.2,No,Lower-Middle,5.0,9.7,5.6,5.4,5.4,4.7,No,Low,Yes
STU00018,22,,3,Science,PG/Rented,92.2,,4.97,1.0,6.5,5.1,1,5.1,Yes,Upper-Middle,5.5,3.1,1.5,6.5,4.5,3.6,Yes,Low,No
STU00019,18,Male,1,Science,Hostel,90.8,0.0,7.13,1.0,6.5,5.0,0,4.8,No,High,2.2,10.0,6.3,7.8,8.4,,No,Low,No
STU00020,21,Male,3,Engineering,Day Scholar,77.9,4.3,5.85,1.0,6.8,6.9,3,2.6,No,Upper-Middle,5.6,6.5,4.0,6.5,5.9,3.6,Yes,Low,No
STU00021,17,Female,2,Medicine,Hostel,71.2,,7.46,1.0,6.9,6.6,0,3.7,Yes,Middle,4.4,3.6,2.0,8.0,4.0,6.3,Yes,Medium,No
STU00022,22,Female,4,Engineering,PG/Rented,83.1,3.9,8.85,0.0,5.6,2.0,0,10.0,Yes,Middle,5.8,8.3,6.2,1.8,7.6,8.1,No,Low,Yes
STU00023,25,Male,4,Science,Hostel,51.8,6.8,7.21,1.0,7.2,3.6,4,6.2,No,Middle,3.7,7.4,7.0,0.1,8.4,3.5,No,Low,No
STU00024,17,Female,2,,Day Scholar,100.0,4.3,,0.0,5.0,6.6,3,,No,Lower-Middle,3.5,9.5,4.3,0.2,7.9,,Yes,Low,No
STU00025,19,Female,1,Science,,87.8,5.0,7.68,1.0,7.8,,3,4.3,No,High,5.5,3.1,7.2,7.5,4.6,3.2,No,Medium,Yes
STU00026,23,Male,4,Engineering,PG/Rented,91.0,5.2,7.36,1.0,7.4,2.9,1,3.3,Yes,Low,6.1,4.1,7.2,6.3,4.7,6.6,No,High,Yes
STU00027,20,Female,3,Arts,Hostel,61.9,0.0,9.68,0.0,9.5,8.8,1,6.6,No,Lower-Middle,3.6,8.2,5.5,3.4,3.3,,Yes,Low,No
STU00028,25,Female,1,Arts,PG/Rented,97.2,3.9,7.16,0.0,7.0,3.7,3,1.2,No,Upper-Middle,8.0,10.0,6.7,4.2,6.0,7.4,No,Low,No
